"Window","Show Ruler Context Menu","Ctrl+F10","Embedded Xtext Editor context"
"C/C++ Source","Toggle Mark Occurrences","Shift+Alt+O","C/C++ Editor"
"Text Editing","Scroll Line Down","Ctrl+Down","Editing Text"
"Task Repositories","Open Selected Task","Ctrl+Enter","In Tasks View"
"Terminal Widget","Terminal view insert","Alt+R","Terminal Widget"
"Navigate","Previous","Ctrl+,","In Windows"
"Text Editing","Scroll Line Up","Ctrl+Up","Editing Text"
"Edit","Toggle Block Selection","Shift+Alt+A","Embedded Xtext Editor context"
"Views","Show View (Problems)","Shift+Alt+Q X","In Windows"
"File","Save","Ctrl+S","In Windows"
"Text Editing","Delete to End of Line","Shift+Ctrl+Delete","Embedded Xtext Editor context"
"Refactor - C++","Extract Constant - Refactoring ","Alt+C","C/C++ Editor"
"Text Editing","Join Lines","Ctrl+Alt+J","Embedded Xtext Editor context"
"Source","Quick Assist - Extract method","Ctrl+2 M","Editing Java Source"
"Views","Show View (Package Explorer)","Alt+Q","In Windows"
"C/C++ Source","Remove Block Comment","Shift+Ctrl+\","C/C++ Editor"
"Edit","Find and Replace","Ctrl+F","In Windows"
"Task Repositories","Mark Task Read","Shift+Alt+R","In Tasks Editor"
"Task Repositories","Mark Task Read and Go To Next Unread Task","Shift+Alt+Down","In Tasks View"
"Edit","Context Information","Shift+Ctrl+Space","In Dialogs and Windows"
"Terminal Widget","Terminal view insert","Alt+E","Terminal Widget"
"Task Repositories","Mark Task Read and Go To Previous Unread Task","Shift+Alt+Up","In Tasks View"
"Source","Toggle Ant Mark Occurrences","Shift+Alt+O","Editing Ant Buildfiles"
"File","Refresh","F5","In Windows"
"Source","Remove Block Comment","Shift+Ctrl+\","Editing Java Source"
"Navigate","Previous Tab","Shift+Ctrl+Tab","In Windows"
"Task Repositories","Mark Task Read","Shift+Alt+R","In Tasks View"
"Terminal","Paste","Shift+Ctrl+V","Terminal"
"Window","Previous View","Shift+Ctrl+F7","In Windows"
"Run/Debug","Run Blaze Test","Shift+Alt+X B T","In Windows"
"Source","Toggle Comment","Ctrl+7","Editing Java Source"
"Source","Format","Shift+Ctrl+F","Editing Java Source"
"Refactor - Java","Change Method Signature","Shift+Alt+C","In Windows"
"Task Repositories","Mark Task Incomplete","Shift+Alt+I","In Tasks Editor"
"Search","Find Text in Workspace","Ctrl+Alt+G","In Windows"
"Task Repositories","Mark Task Unread","Shift+Alt+U","In Tasks Editor"
"Views","Show View","Shift+Alt+Q Q","In Windows"
